"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"JKDPDCFA_00796",43.5935759044442,0.0019400614824778,0.389635347201923,0.00497917218345283,0.996027211804914,0.998950966357895
"JKDPDCFA_00797",34.5764640160428,0.13965896481865,0.450512025183409,0.310000526094267,0.756560556286184,0.873410619151961
"JKDPDCFA_00798",58.7950855998671,0.0959452065640872,0.354396411373905,0.270728493531105,0.786599860247266,0.88397172148325
"JKDPDCFA_00799",96.8775561332989,0.216601734424407,0.28099424787362,0.770840456925742,0.440801503796072,0.64631478039338
"JKDPDCFA_00800",263.369513303918,0.0252684954284284,0.210806981269747,0.119865553200513,0.90458965225129,0.952620197339617
"JKDPDCFA_00801",5.70190374260547,0.42881395993412,0.940572820474673,0.455907241416686,0.648456682022907,0.810606871424548
"JKDPDCFA_00802",17.220765178784,0.665445634056005,0.572580119337608,1.16218780845173,0.24515918574763,0.456310824679697
"JKDPDCFA_00803",125.501408247559,0.166547293667386,0.2531062875543,0.658013261056012,0.510529609982427,0.70902171014753
"JKDPDCFA_00804",15.0239762405626,-0.146364721709999,0.61835588696189,-0.236699811218939,0.812889681425025,0.900296187801597
"JKDPDCFA_00805",15.0054011572535,0.801304553517996,0.613400000990703,1.30633282071048,0.191439400457687,0.38565105289304
"JKDPDCFA_00806",112.996953870685,0.562483133505039,0.261397655782828,2.15182929556321,0.0314108016052094,0.101226058197483
"JKDPDCFA_00807",117.1808516911,-0.0348529957649906,0.276933654335317,-0.125853233145835,0.899848102772269,0.950535905833008
"JKDPDCFA_00808",90.6350926762692,0.552380553330026,0.290505021623084,1.901449242577,0.0572431948382861,0.162089543787049
"JKDPDCFA_00809",17.0506278821081,1.60356125876454,0.658908334269976,2.43366364540095,0.0149468772678161,0.0587550717089663
"JKDPDCFA_00810",15.5838065537299,-0.176292533511539,0.595185127387655,-0.296197813754706,0.767079018343112,0.877863739456651
"JKDPDCFA_00811",62.1488926039066,-0.461138192563918,0.371776784905176,-1.24036306538488,0.214841135725853,0.418647629461117
"JKDPDCFA_00812",182.344154559737,0.509099177905759,0.219261857435885,2.32187752060172,0.0202395315524196,0.0732366864266745
"JKDPDCFA_00813",52.9001394960555,0.0429646391742129,0.346036902870105,0.124162015143052,0.90118699698385,0.950535905833008
"JKDPDCFA_00814",140.519634529692,0.285570394997328,0.261056514646566,1.09390258038168,0.273997706941635,0.486934178979314
"JKDPDCFA_00815",498.469909476893,0.234097026920095,0.228462774908888,1.02466157567006,0.30552289933156,0.51972101897162
"JKDPDCFA_00816",266.965951772905,0.722277997485083,0.204524330952952,3.53150157792832,0.000413207396667883,0.00302449069096469
"JKDPDCFA_00817",329.804074760377,0.290307020478554,0.208755253712591,1.39065731432197,0.164329367407124,0.347971726960995
"JKDPDCFA_00818",2.50529616069389,3.22130370509517,1.6672617929188,1.93209231974048,0.0533481121225787,0.153016807279424
"JKDPDCFA_00819",20.4644405219362,-0.460955319617486,0.64964552807282,-0.709548976631786,0.477983869825205,0.680534472372156
"JKDPDCFA_00820",1.4930471742517,-1.6253681341739,1.96650121327753,-0.8265279081445,0.408504693480996,0.620015826713436
"JKDPDCFA_00821",17.7087528543599,0.117794022508609,0.562135653277223,0.209547325137404,0.834020995193106,0.909296131393397
"JKDPDCFA_00822",20.605065965038,-0.597867116919951,0.531081033555997,-1.12575497738409,0.260269245977696,0.472599123950798
"JKDPDCFA_00823",563.680711653918,0.0138541616434436,0.193852603062293,0.0714675037868419,0.943025686625256,0.975778188194942
"JKDPDCFA_00824",67.4510483818491,-0.80979223324063,0.358940491018227,-2.2560626440986,0.0240667081994082,0.083121430801818
"JKDPDCFA_00825",20.0662343425868,0.138760845503139,0.537178216544247,0.258314356817762,0.796164307033995,0.889755085704107
"JKDPDCFA_00826",76.5310077783579,0.721907247170717,0.352668403390452,2.04698589448476,0.0406594695210256,0.123407650521998
"JKDPDCFA_00827",1471.37641291461,-0.257356779660492,0.207384038187398,-1.24096715402917,0.214617882951327,0.418641497927175
"JKDPDCFA_00828",105.439148891915,-0.0522032385850362,0.267705158078574,-0.195002737189375,0.845390804791067,0.91636530522813
"JKDPDCFA_00829",63.6705780053662,-0.326538321939132,0.336613474426053,-0.970069075505372,0.332012062228461,0.550933203326751
"JKDPDCFA_00830",135.355211355982,0.255370507102758,0.243644533767948,1.04812738112146,0.294579922510309,0.506960911316711
"JKDPDCFA_00831",17.9387304758556,-0.419977871856873,0.578143065145085,-0.726425511566897,0.467577956348774,0.672495808556766
"JKDPDCFA_00832",16.8655096420657,-0.478575874040591,0.63105604796059,-0.75837300916016,0.448227711296726,0.652156995402092
"JKDPDCFA_00833",71.2958032285138,-0.606810429342986,0.423977213203344,-1.43123359097121,0.152363279423797,0.33146624819912
"JKDPDCFA_00834",7.54537835709439,-1.38420639898173,0.964678522811045,-1.43488879067007,0.151318790419749,0.330843121918946
"JKDPDCFA_00835",108.55076548229,-1.13472724305426,0.384246815094046,-2.95312075072512,0.00314578884295093,0.0166886764041295
"JKDPDCFA_00836",5.13684902615773,-1.08294883718645,1.12945452253085,-0.958824649937924,0.337647089034952,0.555498233208621
"JKDPDCFA_00837",1.01486971515874,-0.362054340606904,2.28517997691257,-0.158435809986426,0.874113397830935,NA
"JKDPDCFA_00838",1.10492872070439,-1.07702655162845,2.16155900146351,-0.498263776699704,0.618298135683477,NA
"JKDPDCFA_00839",10.5180007119067,-0.00868226038276403,0.750647739826861,-0.0115663578561718,0.990771587406113,0.998950966357895
"JKDPDCFA_00840",2.36000006443642,0.140341069292078,1.52380810980104,0.0920989121854735,0.926619452730782,0.968844265353747
"JKDPDCFA_00841",7.16436814245528,0.593743640458888,0.904401035387188,0.656504821674267,0.511499366224523,0.709476524692547
"JKDPDCFA_00842",0.491704786425052,-1.50696655578196,3.15703908823263,-0.477335412601937,0.63312329795438,NA
"JKDPDCFA_00843",4.15944552482583,-0.483383546827272,1.17228252535148,-0.412343898653904,0.680087376933001,0.825867503317281
"JKDPDCFA_00844",2.44249303901923,-2.46467149076618,1.71685076186024,-1.43557701433272,0.151122739229038,0.330779142508314
"JKDPDCFA_00845",2.78043686704362,-1.44161296362724,1.52417496460019,-0.945831677536704,0.344234445691486,0.56374300327762
"JKDPDCFA_00846",1.22660980665023,0.646868014506506,1.97850259615553,0.326948276824832,0.743707006179889,NA
"JKDPDCFA_00847",2.08557816493273,-2.2765620574433,1.79811194496073,-1.26608471948782,0.205482752698502,0.407386233378503
"JKDPDCFA_00848",6.26921472998016,-0.737838549679679,1.13017853439952,-0.652851321469931,0.513852133757951,0.710876101066248
"JKDPDCFA_00849",0.27251997763318,-0.655701915033237,4.0320032235504,-0.162624352878333,0.870814211417697,NA
"JKDPDCFA_00850",11.2642373273474,-1.94449221677873,0.804350522839352,-2.4174687049555,0.0156288778636511,0.0603203746438188
"JKDPDCFA_00851",0.811715799472899,-2.23072621256286,2.61936909451034,-0.85162729347231,0.394420986082912,NA
"JKDPDCFA_00852",1.64704660925743,-1.89504805890564,1.91454709437052,-0.989815327331346,0.322264391709583,0.540367610714277
"JKDPDCFA_00853",5.67692662502516,0.806929077020963,0.945933468406891,0.85305056219225,0.393631265475806,0.607802702994055
"JKDPDCFA_00854",6.23233336430523,0.0658648787927713,0.919965098310501,0.0715949756286743,0.942924238683339,0.975778188194942
"JKDPDCFA_00855",0.109592404395936,0.658891766764627,4.44658063478275,0.148179426143887,0.882201168121618,NA
"JKDPDCFA_00856",1.25158692423054,-0.987628777515967,2.17790339116095,-0.453476853713654,0.65020540678734,NA
"JKDPDCFA_00857",2.92856963043636,0.94825136686618,1.39152477448015,0.681447707045266,0.495588244715604,0.69638213511104
"JKDPDCFA_00858",1.62665500365589,1.4623677439499,1.76627351703832,0.827939574388226,0.407704721415753,0.620015826713436
"JKDPDCFA_00859",3.24133848870448,-0.794972312579956,1.3912940387059,-0.571390583488299,0.567734910747059,0.75017135167998
"JKDPDCFA_00860",0.0533351688413077,1.67050104932063,4.55995160889019,0.366341837063311,0.714110014688857,NA
"JKDPDCFA_00861",10.2079964342039,-0.363905737801983,0.74786685832427,-0.486591608855859,0.626547771220735,0.796383563013564
"JKDPDCFA_00862",0.106670337682615,0.694215194486091,4.44947983451038,0.156021652037104,0.87601595436249,NA
"JKDPDCFA_00863",4.49306481284023,0.995940308081167,1.12868278210697,0.882391690446445,0.377565027747925,0.592265327458492
"JKDPDCFA_00864",2.09768493272539,-0.440748595164589,1.75425705956973,-0.251245159744542,0.801624571595051,0.893707892820129
"JKDPDCFA_00865",13.6151305197092,-0.244022833738463,0.731246598428851,-0.333707991617011,0.738599918522269,0.861814629999888
"JKDPDCFA_00866",16.0847408163832,0.233119319515594,0.572764362711304,0.407007374572108,0.684002571853424,0.826868003902004
"JKDPDCFA_00867",1.22528832381065,-0.934381609910746,2.25949296424877,-0.413535967889772,0.679213975891326,NA
